id,category,topic,register,filename
0075,日常生活・家庭,ペットを飼うことの責任と喜び,エッセイ調,0075.txt
0076,日常生活・家庭,家事分担における男女の役割の変化,議論調,0076.txt
0077,買い物・消費,オンラインショッピングで届いた商品が違う,口語,0077.txt
0078,地理学(一般教養),世界最深で最大の貯水量を持つ淡水湖バイカル湖,一般向け解説,0078.txt
0079,時事・ニュース,ウクライナ情勢と国際社会の対応,報道文体,0079.txt
0080,旅行・観光,ホテルでのチェックイン,口語対話,0080.txt
0081,お金・銀行,家計簿をつける,口語,0081.txt
0082,文学・出版文化(一般教養),プーシキンがロシア文学に与えた影響,一般向け解説,0082.txt
0083,生き方・価値観,SNS時代の他人との比較と自己肯定感,議論調,0083.txt
0084,環境・社会問題(一般向け),ゴミの分別とリサイクル,一般向け解説,0084.txt
0085,自然科学トリビア(一般教養),微生物と人間の共生関係,一般向け解説,0085.txt
0086,演劇・映画学(一般教養),ソ連時代の映画とモンタージュ技法,一般向け解説,0086.txt
0087,美術史・音楽学(一般教養),ロシア構成主義とアヴァンギャルド美術,一般向け解説,0087.txt
0088,歴史学(一般教養),有名な歴史上の人物の逸話,一般向け解説,0088.txt
0089,お金・銀行,ローンの返済計画,やや改まった文体,0089.txt
0090,天気・季節・自然,都市のヒートアイランド現象,一般向け解説,0090.txt
0091,文学・出版文化(一般教養),トルストイやドストエフスキーの大河小説の魅力,一般向け解説,0091.txt
0092,天気・季節・自然,台風・大雪への備え,口語,0092.txt
0093,時事・ニュース,気候変動対策の国際会議(COP),報道文体,0093.txt
0094,文学・出版文化(一般教養),文学賞の意義,一般向け解説,0094.txt
0095,法学・くらしの法律知識(一般教養),著作権の基本的な考え方,一般向け解説,0095.txt
0096,食文化,食物アレルギーへの配慮,口語,0096.txt
0097,技術・デジタル生活,AIが生活をどう変えるか,一般向け解説,0097.txt
0098,友人・人間関係,マッチングアプリで出会うことをどう考えるか,議論調,0098.txt
0099,自然科学トリビア(一般教養),発明が世界を変えた例,一般向け解説,0099.txt
0100,天気・季節・自然,天気予報を確認する,口語,0100.txt
0101,食文化,レストランでの注文,口語対話,0101.txt
0102,祝日・伝統行事,結婚式の伝統,描写的,0102.txt
0103,娯楽・文化,推し活文化について,エッセイ調,0103.txt
0104,買い物・消費,サブスクリプションサービスは得か損か,議論調,0104.txt
0105,天気・季節・自然,ガーデニングを始める,口語,0105.txt
0106,交通・移動,タクシーで道を間違えられる,口語,0106.txt
0107,自然科学トリビア(一般教養),動物の不思議な生態,一般向け解説,0107.txt
0108,社会学(一般教養),「普通」とは何かを問い直す,エッセイ調,0108.txt
0109,地理学(一般教養),ウラル山脈が分けるヨーロッパとアジア,一般向け解説,0109.txt
0110,社会学(一般教養),都市化が人間関係に与える影響,一般向け解説,0110.txt
0111,政治学・国際関係(一般教養),国際機関(国連など)の役割,一般向け解説,0111.txt
0112,祝日・伝統行事,お葬式でのマナー,描写的・やや改まった文体,0112.txt
0113,経済学(一般教養),需要と供給の基本的な仕組み,一般向け解説,0113.txt
0114,スポーツ,サッカーの試合を観戦する,口語,0114.txt
0115,演劇・映画学(一般教養),ドキュメンタリー映画の役割,一般向け解説,0115.txt
0116,時事・ニュース,円安が家計に与える影響,報道文体,0116.txt
0117,お金・銀行,若者の「お金より時間」という価値観の変化,エッセイ調,0117.txt
0118,天文学・宇宙科学(一般教養),民間企業による宇宙旅行の時代,一般向け解説,0118.txt
0119,時事・ニュース,イーロン・マスクによるX(旧Twitter)買収,報道文体,0119.txt
0120,歴史学(一般教養),世界大戦から学ぶ教訓,一般向け解説,0120.txt
0121,文学・出版文化(一般教養),チェーホフの短編小説の世界,一般向け解説,0121.txt
0122,食文化,各国料理を食べ比べる,描写的,0122.txt
0123,娯楽・文化,ボードゲームの夜,口語,0123.txt
0124,法学・くらしの法律知識(一般教養),消費者の権利について,一般向け解説,0124.txt
0125,学校・教育,生成AIは教育をどう変えるか,議論調,0125.txt
0126,美術史・音楽学(一般教養),チャイコフスキーの音楽,一般向け解説,0126.txt
0127,学校・教育,図書館での勉強会,口語,0127.txt
0128,歴史学(一般教養),キエフ・ルーシ解体後の東スラヴ諸地域とモスクワ国家の形成,一般向け解説,0128.txt
0129,言語学(一般教養),AIによる自動翻訳の精度はどこまで上がったか,議論調,0129.txt
0130,美術史・音楽学(一般教養),イコン画とロシア正教美術,一般向け解説,0130.txt
0131,考古学・人類学(一般教養),ミイラの保存方法,一般向け解説,0131.txt
0132,美術史・音楽学(一般教養),AIが作曲した音楽をどう評価するか,議論調,0132.txt
0133,時事・ニュース,リモートワークが働き方に与えた変化,報道文体,0133.txt
0134,文学・出版文化(一般教養),世界の名作文学の魅力,一般向け解説,0134.txt
0135,友人・人間関係,結婚しない生き方を選ぶ人が増えている理由,エッセイ調,0135.txt
0136,言語学(一般教養),言葉の乱れは本当に「乱れ」なのか,議論調,0136.txt
0137,仕事・キャリア,出張先でのトラブル,口語,0137.txt
0138,美術史・音楽学(一般教養),民族楽器バラライカとロシア民謡,一般向け解説,0138.txt
0139,地理学(一般教養),世界の都市の成り立ち,一般向け解説,0139.txt
0140,経済学(一般教養),シェアリングエコノミーの仕組み,一般向け解説,0140.txt
0141,時事・ニュース,新しい公共施設の開館,報道文体,0141.txt
0142,宗教学・神話学(一般教養),伝説と歴史的事実の境界,一般向け解説,0142.txt
0143,地理学(一般教養),ロシア極北の永久凍土と人々の暮らし,一般向け解説,0143.txt
0144,時事・ニュース,生成AI(ChatGPT等)の登場が社会に与えた衝撃,報道文体,0144.txt
0145,日常生活・家庭,子供の宿題を手伝う,口語,0145.txt
0146,美術史・音楽学(一般教養),現代アートは難解すぎるのか,議論調,0146.txt
0147,旅行・観光,観光地での写真撮影,描写的,0147.txt
0148,歴史学(一般教養),モンゴル支配がルーシ諸公国に与えた影響,一般向け解説,0148.txt
0149,日常生活・家庭,家事の分担についての家族会議,口語,0149.txt
0150,健康・医療,メンタルヘルスへの社会的関心の高まり,エッセイ調,0150.txt
0151,環境・社会問題(一般向け),貧困問題への社会の関心,エッセイ調,0151.txt
0152,時事・ニュース,電気自動車の普及とその課題,報道文体,0152.txt
0153,友人・人間関係,友人との喧嘩と仲直り,口語,0153.txt
0154,時事・ニュース,世界的なインフレと生活費高騰,報道文体,0154.txt
0155,文学・出版文化(一般教養),現代ロシア文学の潮流,一般向け解説,0155.txt
0156,買い物・消費,セール中の洋服店,口語,0156.txt
0157,友人・人間関係,SNSは人間関係を豊かにするか孤独にするか,議論調,0157.txt
0158,交通・移動,都市の交通渋滞問題をどう解決するか,議論調,0158.txt
0159,心理学(一般教養),集団心理と同調行動,一般向け解説,0159.txt
0160,地理学(一般教養),地図の歴史,一般向け解説,0160.txt
